Company_Name,CEO_Name,Industry,Company_Sector,Country,City,Founded_Year,Employee_Count,Male_Employees,Female_Employees,Last_Year_Hirings,Hiring_Rate (%),Average_Salary_LPA,Annual_Revenue_INR_Crores,Company_Shares_INR
Vertex Logistics Ltd.,Joy Padilla,IT Services,Government,China,Beijing,1986,82688,38263,44425,3201,3.87,13.56,327479.23,382046.4
Pacific Industries Ltd.,John Gordon,Retail,Private,Singapore,Singapore,1983,101256,48116,53140,9418,9.3,18.63,526998.37,277130.7
Apex Technologies Ltd.,Mary Hogan,Manufacturing,MNC,Malaysia,Kuala Lumpur,1972,95378,63646,31732,12207,12.8,34.14,100265.94,251089.9
Pioneer Holdings Ltd.,Hannah Daniel,Banking,Government,Singapore,Singapore,2012,186975,125741,61234,1385,0.74,8.51,260069.68,314357.52
Evergreen Logistics Ltd.,Jamie Williams,IT Services,Startup,South Korea,Seoul,1963,81728,53795,27933,5355,6.55,11.84,421963.99,178269.4
Evergreen Energy Ltd.,Karen Mckinney,Logistics,Private,UAE,Dubai,1953,158297,89674,68623,2841,1.79,7.39,162132.02,223449.5
Nova Retail Ltd.,Laurie Campbell,Manufacturing,MNC,Taiwan,Taipei,1965,11482,5197,6285,854,7.44,36.16,279484.0,100522.82
BlueSky Logistics Ltd.,Cheryl Norman,Healthcare,Private,Taiwan,Taipei,1956,98868,67029,31839,3506,3.55,34.95,222526.98,363539.2
Vertex Foods Ltd.,Janice Brown,Manufacturing,Startup,Vietnam,Ho Chi Minh City,2017,23524,13319,10205,2130,9.05,5.05,519191.29,50583.48
Prime Solutions Ltd.,Michael Perez,Banking,Government,Singapore,Singapore,1990,43776,21263,22513,4921,11.24,5.22,350432.97,203024.5
BlueSky Solutions Ltd.,William Hall,Energy,MNC,Vietnam,Ho Chi Minh City,1998,144564,80367,64197,10188,7.05,24.23,202022.08,100437.68
Evergreen Foods Ltd.,Catherine Rodriguez,Healthcare,Startup,China,Beijing,2015,175813,120942,54871,73,0.04,20.75,61926.36,163461.92
Apex Group Ltd.,Frances Castillo,Telecom,Private,China,Beijing,2018,13814,7556,6258,93,0.67,17.45,91791.33,164739.02
Pioneer Technologies Ltd.,Jessica Knight,Retail,Private,Thailand,Bangkok,1967,176099,108477,67622,27882,15.83,19.15,391071.76,8682.56
Apex Retail Ltd.,Meghan Silva,Manufacturing,Private,Malaysia,Kuala Lumpur,1997,32994,16521,16473,417,1.26,24.83,356799.21,407832.64
Prime Retail Ltd.,Robert Wall,Telecom,Government,Thailand,Bangkok,1977,62053,36925,25128,1619,2.61,28.78,99916.78,182346.66
Horizon Retail Ltd.,Tammy Moore,Banking,Startup,Thailand,Bangkok,2022,99360,51645,47715,12086,12.16,4.67,123769.82,209241.44
Prime Foods Ltd.,Kevin Nichols,Manufacturing,Government,Thailand,Bangkok,1963,6350,3065,3285,860,13.54,24.04,348408.79,70435.72
Pacific Manufacturing Ltd.,William Rice,IT Services,Government,China,Beijing,1959,121901,57766,64135,20399,16.73,27.97,342679.9,311677.76
Prime Technologies Ltd.,Dorothy White,Logistics,MNC,Indonesia,Jakarta,2022,145088,91767,53321,21930,15.11,36.19,314582.84,411717.26
Nova Manufacturing Ltd.,Michelle French DDS,Banking,MNC,Indonesia,Jakarta,1953,66637,30367,36270,11031,16.55,14.5,275575.05,266819.3
Vertex Logistics Ltd.,Evan Randall,IT Services,Government,Vietnam,Ho Chi Minh City,2006,181804,90510,91294,18805,10.34,32.87,270554.37,225485.98
Nova Holdings Ltd.,Sheila Williamson,Manufacturing,Private,UAE,Dubai,1985,42908,25699,17209,5838,13.61,6.87,324823.03,261787.44
Summit Manufacturing Ltd.,Ashley Sanchez,Logistics,MNC,UAE,Dubai,2008,165362,79522,85840,10068,6.09,38.64,356684.4,415846.98
Pioneer Foods Ltd.,Christina Bryant,Banking,Private,Vietnam,Ho Chi Minh City,2001,70946,34248,36698,10505,14.81,12.79,174291.64,39580.64
Pacific Manufacturing Ltd.,Richard Tapia,Logistics,MNC,China,Beijing,1976,124577,74093,50484,11925,9.57,19.44,547964.48,270879.36
Summit Group Ltd.,Robert White,Banking,Private,Taiwan,Taipei,1975,20570,10408,10162,3996,19.43,23.52,327989.29,294983.44
Summit Energy Ltd.,Linda Wilson,Banking,Startup,South Korea,Seoul,1969,5212,3196,2016,371,7.12,34.49,60881.12,52017.1
Prime Logistics Ltd.,Amber Rush,Retail,Government,UAE,Dubai,1963,55598,37086,18512,3585,6.45,23.04,526680.0,300144.3
Apex Holdings Ltd.,Jessica Crawford,Manufacturing,Startup,China,Beijing,1960,37234,22966,14268,5200,13.97,6.71,110018.85,162091.08
Nova Foods Ltd.,Nicholas Black,Telecom,Startup,Thailand,Bangkok,1986,104641,72581,32060,10410,9.95,14.36,458537.64,140596.24
Evergreen Foods Ltd.,Chris Fisher,Energy,MNC,Taiwan,Taipei,1976,50285,26550,23735,5722,11.38,35.34,310757.3,359239.2
Evergreen Logistics Ltd.,Andre Lopez,Telecom,Government,China,Beijing,2020,163446,80582,82864,24317,14.88,13.41,674842.34,314702.38
Pacific Manufacturing Ltd.,Chad Taylor,Banking,Government,South Korea,Seoul,1981,190008,100811,89197,28031,14.75,5.47,633397.4,7887.92
Pacific Industries Ltd.,Alyssa Bell,IT Services,Government,UAE,Dubai,1973,140762,86213,54549,14348,10.19,39.51,101051.98,237985.22
Prime Manufacturing Ltd.,Elizabeth Watson,IT Services,MNC,Japan,Tokyo,1952,61116,31728,29388,2171,3.55,33.36,613570.96,239312.2
Horizon Logistics Ltd.,Jacob Weber,Manufacturing,Private,Singapore,Singapore,2010,42204,28814,13390,8319,19.71,19.76,39078.92,321395.76
BlueSky Healthcare Ltd.,Paige Smith,Manufacturing,Startup,Taiwan,Taipei,1987,101254,56353,44901,7682,7.59,32.74,360026.62,124773.1
Apex Retail Ltd.,Robert Hardy,Banking,Government,Vietnam,Ho Chi Minh City,1998,184329,89300,95029,35249,19.12,27.17,133630.67,83855.16
Prime Industries Ltd.,Melissa Jackson,Energy,Public,Thailand,Bangkok,2020,178372,101026,77346,10900,6.11,14.62,104770.7,10166.06
Vertex Healthcare Ltd.,Charles Roberts,Healthcare,Private,Vietnam,Ho Chi Minh City,2000,160481,104021,56460,2941,1.83,11.05,456823.31,133213.14
Evergreen Foods Ltd.,Jason Bowman,Telecom,MNC,South Korea,Seoul,2011,13028,8337,4691,230,1.77,34.53,514632.69,410338.68
Evergreen Energy Ltd.,Heidi Parker,Telecom,MNC,Japan,Tokyo,1954,77239,42852,34387,2628,3.4,25.01,142226.63,173491.24
Pioneer Group Ltd.,Stephanie Singh,Telecom,Private,Malaysia,Kuala Lumpur,1956,187295,127551,59744,4537,2.42,23.31,646557.98,40945.46
Horizon Holdings Ltd.,Mr. Thomas Davis,Healthcare,MNC,Malaysia,Kuala Lumpur,1984,69753,39495,30258,10883,15.6,6.12,478584.75,371077.96
BlueSky Manufacturing Ltd.,Richard Ramirez,IT Services,Startup,China,Beijing,1968,97554,50299,47255,18549,19.01,3.61,373675.76,34457.62
Vertex Manufacturing Ltd.,Lisa Walker,Retail,MNC,South Korea,Seoul,1958,118139,81309,36830,12017,10.17,14.83,389838.6,99022.12
Pacific Solutions Ltd.,Keith White,Banking,Startup,Taiwan,Taipei,1957,197539,118391,79148,34071,17.25,32.03,389898.8,98896.56
Evergreen Manufacturing Ltd.,Elizabeth Garrison,Logistics,Public,South Korea,Seoul,1961,93380,61958,31422,11798,12.63,20.69,568311.31,13982.74
BlueSky Logistics Ltd.,Kathleen Sloan,Retail,Private,UAE,Dubai,2016,32563,16162,16401,3892,11.95,20.06,580813.47,321839.52
Vertex Retail Ltd.,Carlos Hawkins,Manufacturing,Startup,Singapore,Singapore,2022,120511,65413,55098,5732,4.76,3.2,568549.7,325321.66
Pioneer Healthcare Ltd.,William Elliott,Energy,MNC,China,Beijing,1969,134540,61201,73339,10728,7.97,13.42,14326.22,185539.84
Evergreen Retail Ltd.,Alexander Vaughn,Energy,Public,Singapore,Singapore,1968,85342,47562,37780,6661,7.81,23.66,37883.69,21695.22
Vertex Technologies Ltd.,Isabel West,Banking,Public,Indonesia,Jakarta,2009,4213,2063,2150,768,18.23,39.82,506557.2,19150.48
BlueSky Industries Ltd.,Anna Nichols,Telecom,Government,Malaysia,Kuala Lumpur,2017,36609,20993,15616,1811,4.95,22.72,366946.18,307978.04
Horizon Industries Ltd.,Patricia Long,IT Services,Startup,Singapore,Singapore,2009,108168,54009,54159,402,0.37,8.38,359634.71,266096.9
BlueSky Logistics Ltd.,Charles Dickson,IT Services,Startup,Taiwan,Taipei,1979,167071,111774,55297,30320,18.15,9.38,180336.5,305810.84
Vertex Solutions Ltd.,Heather Wood,Logistics,Startup,UAE,Dubai,2001,186375,86518,99857,33179,17.8,25.41,280617.14,229553.78
Prime Healthcare Ltd.,Kellie Landry,Logistics,Public,Indonesia,Jakarta,2020,50780,34559,16221,8389,16.52,19.34,357191.54,59368.38
Summit Energy Ltd.,Joseph Smith,IT Services,Private,Thailand,Bangkok,2000,20507,10337,10170,2053,10.01,28.35,598745.93,248777.36
Horizon Manufacturing Ltd.,Amanda Sanders,Logistics,Private,Japan,Tokyo,2011,130560,77198,53362,5852,4.48,15.79,105923.71,270093.32
Evergreen Holdings Ltd.,Melody Brewer,Logistics,Private,Singapore,Singapore,2013,138225,77676,60549,27398,19.82,10.19,247317.85,90624.22
Nova Manufacturing Ltd.,Jeremy Smith,Banking,Startup,Japan,Tokyo,1961,8062,5330,2732,86,1.07,39.17,123741.27,19078.24
Pacific Industries Ltd.,Amanda Conrad,IT Services,Startup,South Korea,Seoul,1963,7581,5033,2548,1152,15.2,24.86,26860.12,153766.28
BlueSky Technologies Ltd.,Patricia Gilbert,IT Services,MNC,Singapore,Singapore,1953,128193,84438,43755,6685,5.21,24.23,141236.42,352424.56
Horizon Industries Ltd.,Anita Ramos,Manufacturing,Public,Singapore,Singapore,1980,111671,56243,55428,4721,4.23,25.43,54788.54,43928.8
Prime Technologies Ltd.,Terry Butler,Energy,Startup,Singapore,Singapore,1978,95425,44446,50979,5154,5.4,35.34,533490.08,285417.66
Nova Industries Ltd.,Michael Taylor,Banking,Private,Singapore,Singapore,2006,17710,12191,5519,1701,9.6,10.51,115426.1,62871.16
Evergreen Industries Ltd.,Kristin Lee,Energy,Public,Singapore,Singapore,2001,126475,85307,41168,20124,15.91,24.49,355091.42,36848.42
Vertex Logistics Ltd.,Anna Jensen,Manufacturing,MNC,Taiwan,Taipei,1981,104557,47824,56733,19071,18.24,11.7,601872.38,75405.66
Pioneer Solutions Ltd.,Erica Curtis,Telecom,Government,Thailand,Bangkok,1987,115697,57517,58180,6522,5.64,19.98,552042.86,53704.42
Vertex Healthcare Ltd.,Michelle Gallagher,IT Services,MNC,Malaysia,Kuala Lumpur,2019,94301,62773,31528,16391,17.38,14.05,552049.31,420300.06
Nova Technologies Ltd.,Anthony Yates,Healthcare,Government,UAE,Dubai,2020,75042,42462,32580,310,0.41,10.21,109161.61,37533.84
Pacific Manufacturing Ltd.,Christopher Miller,Retail,MNC,Thailand,Bangkok,1999,4846,2411,2435,13,0.27,14.35,269184.9,21162.88
Prime Holdings Ltd.,Jaime Johnson,Logistics,Startup,Taiwan,Taipei,2020,159442,102149,57293,7665,4.81,27.92,399084.2,133462.54
Vertex Energy Ltd.,Susan Mendoza,Healthcare,MNC,Vietnam,Ho Chi Minh City,1990,60958,31362,29596,7389,12.12,3.71,149363.51,423120.0
Summit Holdings Ltd.,Dennis Richards,Logistics,Startup,Vietnam,Ho Chi Minh City,1979,83661,56751,26910,9572,11.44,4.91,270988.67,252472.78
Vertex Technologies Ltd.,Valerie Hoffman,Healthcare,MNC,Vietnam,Ho Chi Minh City,2010,38232,20662,17570,4796,12.54,29.94,451500.77,171996.56
Vertex Solutions Ltd.,Sarah Combs,Telecom,Private,Indonesia,Jakarta,1973,65643,31758,33885,1418,2.16,25.68,392339.31,413152.6
Horizon Holdings Ltd.,Brittany Fowler,Telecom,Public,Thailand,Bangkok,1969,17995,12207,5788,1522,8.46,27.45,260755.1,43966.64
Pacific Industries Ltd.,Kari Rodriguez,IT Services,MNC,Indonesia,Jakarta,2016,101674,54105,47569,9173,9.02,37.66,22210.27,286274.22
Horizon Foods Ltd.,Amy Mccarty,Healthcare,Private,Singapore,Singapore,2006,17500,10101,7399,2940,16.8,16.38,197355.38,193154.28
Nova Solutions Ltd.,Alejandro Brown,Retail,MNC,Malaysia,Kuala Lumpur,2017,89039,41445,47594,3612,4.06,25.37,95197.61,69375.34
BlueSky Retail Ltd.,Valerie Cline,Energy,Government,Vietnam,Ho Chi Minh City,1972,135933,93393,42540,4883,3.59,18.66,55572.25,177875.52
BlueSky Foods Ltd.,Jennifer Barnes,IT Services,Government,Japan,Tokyo,2002,29621,19979,9642,2550,8.61,3.58,151664.7,222774.4
Pioneer Holdings Ltd.,Richard Manning,Healthcare,Startup,Taiwan,Taipei,2015,179839,115502,64337,24460,13.6,28.32,412630.67,415540.82
Nova Group Ltd.,Anna George,Logistics,Private,Vietnam,Ho Chi Minh City,2015,157044,108799,48245,2350,1.5,10.42,557480.47,415159.84
Apex Healthcare Ltd.,Anthony Hernandez,Retail,Private,UAE,Dubai,2008,50040,31075,18965,7912,15.81,14.68,41392.83,248642.34
BlueSky Solutions Ltd.,Michael Freeman,Energy,Startup,Vietnam,Ho Chi Minh City,1994,91517,45884,45633,18117,19.8,6.34,108660.48,227081.28
Pacific Industries Ltd.,Laurie Hunt,Manufacturing,Government,South Korea,Seoul,1954,129186,71422,57764,1167,0.9,32.65,214922.34,207494.78
Evergreen Logistics Ltd.,Rodney Carroll,Telecom,Government,Thailand,Bangkok,1950,99239,45957,53282,13205,13.31,33.38,368003.12,176289.68
Nova Manufacturing Ltd.,Andrew Hopkins,Telecom,MNC,China,Beijing,2013,142832,89102,53730,7450,5.22,10.02,568243.28,156731.56
Pioneer Manufacturing Ltd.,Robin Obrien DDS,Healthcare,Startup,Vietnam,Ho Chi Minh City,1961,167981,105742,62239,1201,0.71,3.53,6037.97,50773.54
Vertex Logistics Ltd.,Linda Hoover,Manufacturing,Private,Indonesia,Jakarta,1975,130381,89287,41094,4278,3.28,13.44,252668.17,321575.5
Apex Energy Ltd.,Ashley Coleman,Telecom,Public,Vietnam,Ho Chi Minh City,1961,103435,72222,31213,185,0.18,29.29,243155.02,10163.48
Pacific Retail Ltd.,Laurie Burnett,IT Services,Private,Japan,Tokyo,1970,48183,26891,21292,2999,6.22,31.81,476226.2,228747.96
Evergreen Energy Ltd.,Kenneth Neal,IT Services,Public,Singapore,Singapore,1967,157026,102180,54846,6471,4.12,12.38,367918.06,45156.88
Pioneer Retail Ltd.,Teresa Martin,Retail,Government,Japan,Tokyo,1974,133136,90157,42979,11398,8.56,20.75,4355.73,350365.72
Vertex Logistics Ltd.,Dana Martinez,Logistics,Public,Singapore,Singapore,1990,83568,50230,33338,3072,3.68,6.26,645455.11,59476.74
Evergreen Logistics Ltd.,Joel Ward,Retail,Startup,Singapore,Singapore,1960,194879,103521,91358,14409,7.39,37.18,235308.56,175335.94
Evergreen Healthcare Ltd.,Angela Page,Telecom,Startup,Vietnam,Ho Chi Minh City,2003,170558,80625,89933,16198,9.5,14.36,609075.22,68115.44
BlueSky Holdings Ltd.,Jennifer Miller,Energy,Public,Japan,Tokyo,1955,128941,69581,59360,618,0.48,9.35,550680.02,35475.86
Horizon Healthcare Ltd.,Rick Byrd,Healthcare,Public,Vietnam,Ho Chi Minh City,1998,170704,89467,81237,31967,18.73,29.88,206739.18,68106.84
Summit Holdings Ltd.,Edward Castillo,Manufacturing,Private,UAE,Dubai,1989,93468,61296,32172,15945,17.06,12.98,440667.01,338760.88
Evergreen Energy Ltd.,Mary Sloan,Retail,MNC,China,Beijing,1964,112827,69555,43272,21628,19.17,31.74,31466.02,358804.9
Evergreen Foods Ltd.,Crystal Parrish,Banking,Startup,Thailand,Bangkok,2009,188249,84787,103462,26253,13.95,3.77,264889.03,313599.86
Summit Healthcare Ltd.,David Flores,Banking,Private,Indonesia,Jakarta,1989,38952,25553,13399,7580,19.46,24.03,632489.75,196988.16
Evergreen Solutions Ltd.,Bryan Ramos,Retail,Startup,Vietnam,Ho Chi Minh City,1983,71036,38686,32350,11293,15.9,34.99,671251.5,95522.78
Pioneer Logistics Ltd.,Andrew Larson MD,Retail,Private,Malaysia,Kuala Lumpur,2015,140140,75511,64629,10889,7.77,32.67,333819.75,130258.18
Nova Healthcare Ltd.,Derek Bryant,IT Services,Private,Taiwan,Taipei,2004,52410,32113,20297,4875,9.3,12.63,161261.61,38715.48
BlueSky Logistics Ltd.,Mary Miller,IT Services,MNC,Malaysia,Kuala Lumpur,2014,126686,63318,63368,5473,4.32,11.56,251318.49,191555.54
Summit Holdings Ltd.,Susan Francis,IT Services,Government,South Korea,Seoul,2001,74783,37501,37282,13907,18.6,29.06,138827.13,117014.18
Apex Technologies Ltd.,James Anderson,Energy,Public,Taiwan,Taipei,2020,147788,99172,48616,8130,5.5,8.38,293224.05,34417.2
Evergreen Energy Ltd.,Laura Yang,Manufacturing,Startup,Thailand,Bangkok,1996,109181,67370,41811,8036,7.36,4.17,639873.8,5949.48
Nova Logistics Ltd.,Joseph Herrera,Banking,MNC,UAE,Dubai,1994,143093,85882,57211,8635,6.03,10.12,37162.58,53038.78
Vertex Technologies Ltd.,Jason Sanchez,Retail,Government,Vietnam,Ho Chi Minh City,1976,20201,12405,7796,262,1.3,12.05,338374.91,173578.1
Evergreen Retail Ltd.,Austin Campbell,Energy,Private,Malaysia,Kuala Lumpur,1970,170475,104487,65988,13895,8.15,34.96,185688.19,258723.26
Horizon Retail Ltd.,Bonnie Walton,Healthcare,Startup,South Korea,Seoul,1986,127460,84431,43029,19571,15.35,20.4,649018.52,238011.02
Evergreen Foods Ltd.,Michele Walsh,Retail,Public,Malaysia,Kuala Lumpur,1950,176626,113293,63333,5306,3.0,39.49,299997.93,27914.74
Vertex Foods Ltd.,Taylor Davis,Banking,Startup,Vietnam,Ho Chi Minh City,2011,195541,104456,91085,26785,13.7,22.69,521626.89,356164.7
Pacific Technologies Ltd.,Luis Watkins,IT Services,Private,Taiwan,Taipei,1994,198418,133425,64993,834,0.42,34.55,35784.6,328062.48
Evergreen Industries Ltd.,Kyle Black,Telecom,Public,South Korea,Seoul,2005,157092,82427,74665,11304,7.2,3.66,296041.5,24528.92
BlueSky Foods Ltd.,Charles Logan,Logistics,Startup,Indonesia,Jakarta,1998,69229,35261,33968,4677,6.76,34.43,137322.65,28959.64
Pioneer Holdings Ltd.,Tyler Murphy,Telecom,Private,Japan,Tokyo,2015,106147,54387,51760,2006,1.89,24.3,166028.33,142666.26
Horizon Healthcare Ltd.,Robert Dawson,IT Services,Startup,South Korea,Seoul,2000,195154,120426,74728,27327,14.0,10.39,501720.22,28187.36
BlueSky Industries Ltd.,Robin Bradshaw,Banking,Startup,Japan,Tokyo,1973,129052,67073,61979,15187,11.77,9.36,316676.25,45175.8
Vertex Logistics Ltd.,Maria Hernandez,Logistics,Government,Singapore,Singapore,2005,56131,29334,26797,4630,8.25,19.11,432216.39,410392.0
Summit Healthcare Ltd.,Roberto Cruz,Banking,Public,UAE,Dubai,2007,5516,3429,2087,510,9.25,15.02,103809.05,58270.16
Prime Logistics Ltd.,Eduardo Thompson,Energy,Government,Taiwan,Taipei,2000,184547,99696,84851,27993,15.17,22.06,206029.77,170377.18
Prime Holdings Ltd.,Erin Graham,Logistics,Startup,Vietnam,Ho Chi Minh City,1974,155835,84827,71008,28817,18.49,39.27,136026.54,88948.08
BlueSky Technologies Ltd.,Zachary Romero,IT Services,Startup,South Korea,Seoul,1991,137215,71247,65968,17572,12.81,29.25,16328.48,81709.46
Evergreen Healthcare Ltd.,Dana Cole,Energy,MNC,Japan,Tokyo,1968,166887,77895,88992,31416,18.82,4.59,534271.99,123756.58
Evergreen Foods Ltd.,Marissa Clark,Logistics,Government,South Korea,Seoul,1963,167805,80373,87432,28901,17.22,3.88,322983.84,27896.68
Summit Foods Ltd.,Thomas Miller,Healthcare,Private,Thailand,Bangkok,1963,86035,50484,35551,9741,11.32,18.33,531362.78,37760.02
Evergreen Technologies Ltd.,Michael Cooper,Energy,Private,Japan,Tokyo,1954,122798,77295,45503,23829,19.41,28.11,609888.95,176820.3
Pioneer Retail Ltd.,Patrick Smith,Energy,Government,Singapore,Singapore,1989,45363,28335,17028,3618,7.98,26.55,466638.75,139467.06
Prime Technologies Ltd.,Anna Grimes,Banking,Government,South Korea,Seoul,1975,106779,48888,57891,17198,16.11,27.31,33202.28,349993.34
BlueSky Technologies Ltd.,Brandy Evans,Logistics,MNC,Japan,Tokyo,2001,90941,51288,39653,10254,11.28,32.1,680519.29,150131.06
Evergreen Energy Ltd.,Erik Douglas,Manufacturing,Public,Malaysia,Kuala Lumpur,1992,112006,70040,41966,14417,12.87,26.23,361099.29,66841.78
BlueSky Technologies Ltd.,Brian Kim,Manufacturing,Private,Japan,Tokyo,1991,116003,77552,38451,12682,10.93,31.14,158834.17,400147.68
Apex Group Ltd.,Allen Wallace,Manufacturing,Government,Thailand,Bangkok,2020,183660,98034,85626,2058,1.12,3.45,45611.39,221823.24
Nova Manufacturing Ltd.,Elizabeth Norton MD,Logistics,MNC,China,Beijing,1957,177223,118801,58422,2331,1.32,31.35,684513.73,323372.04
BlueSky Retail Ltd.,Walter Roberts,IT Services,Public,China,Beijing,2008,5140,2490,2650,693,13.48,15.97,170952.78,57521.96
Prime Solutions Ltd.,Patrick Parker,Healthcare,Startup,South Korea,Seoul,1984,149974,84203,65771,10962,7.31,38.17,155274.12,274243.68
Vertex Technologies Ltd.,Charles Williams,Retail,Startup,Malaysia,Kuala Lumpur,1967,48424,31367,17057,2895,5.98,17.71,116355.25,421362.16
Vertex Group Ltd.,Christopher Ruiz,Logistics,Public,Thailand,Bangkok,2017,101878,63154,38724,7749,7.61,22.48,500053.97,18871.84
Apex Healthcare Ltd.,Elizabeth Hoover,Energy,Private,Malaysia,Kuala Lumpur,1958,173359,105613,67746,28142,16.23,35.52,583008.1,299802.88
Nova Logistics Ltd.,Joseph Robertson,Energy,Public,South Korea,Seoul,1963,131086,71447,59639,19430,14.82,28.22,338570.73,2739.1
Pioneer Industries Ltd.,Katrina Bowen,Retail,Government,Vietnam,Ho Chi Minh City,1983,97165,45234,51931,2577,2.65,28.95,124853.94,355315.02
Pioneer Energy Ltd.,Bridget Stanton,Energy,MNC,Taiwan,Taipei,1964,103431,66281,37150,767,0.74,7.83,553403.38,373633.88
Pioneer Healthcare Ltd.,Amanda Keith,Energy,Public,Vietnam,Ho Chi Minh City,1996,195514,124586,70928,17324,8.86,22.86,498302.83,41763.32
Vertex Solutions Ltd.,Matthew Case,Energy,Startup,Taiwan,Taipei,2002,121402,81619,39783,22199,18.29,24.78,683487.32,323925.02
Vertex Holdings Ltd.,Larry Page,Manufacturing,Government,Japan,Tokyo,1976,91037,58714,32323,6511,7.15,5.1,368850.9,34144.58
Vertex Manufacturing Ltd.,Ebony Richardson,Logistics,Government,Malaysia,Kuala Lumpur,2005,110126,58257,51869,5166,4.69,39.99,616641.24,320036.1
Vertex Solutions Ltd.,Rachel Thomas,Manufacturing,Public,Indonesia,Jakarta,2021,44230,23539,20691,7479,16.91,7.75,344747.34,49856.78
BlueSky Holdings Ltd.,Anna Jones,Healthcare,Private,Japan,Tokyo,2021,50420,23010,27410,433,0.86,11.26,618753.4,108987.8
BlueSky Manufacturing Ltd.,Mrs. Catherine Smith,Energy,Public,Japan,Tokyo,1962,18302,10410,7892,2003,10.94,37.79,559138.2,33760.16
Pioneer Retail Ltd.,Matthew Thomas,Manufacturing,MNC,Malaysia,Kuala Lumpur,1961,149433,87036,62397,1421,0.95,34.57,607387.21,253565.84
Pioneer Technologies Ltd.,Wendy King,Energy,MNC,Singapore,Singapore,2015,62551,35019,27532,7215,11.53,37.45,237320.53,284967.02
Pacific Retail Ltd.,Zachary Boone,IT Services,Private,Taiwan,Taipei,1992,87246,47071,40175,5212,5.97,38.2,50334.94,163789.58
Nova Group Ltd.,Joyce Rodriguez,Telecom,Private,UAE,Dubai,1977,152146,87039,65107,3987,2.62,15.47,600814.06,252611.24
Apex Foods Ltd.,Jacqueline Gates,Retail,Government,Malaysia,Kuala Lumpur,2021,4275,2341,1934,354,8.28,26.48,555534.03,92416.46
Vertex Solutions Ltd.,Lacey King,Telecom,Private,Vietnam,Ho Chi Minh City,2004,28334,18057,10277,3561,12.57,12.44,74820.69,259256.46
Vertex Manufacturing Ltd.,Amber White,Retail,Private,Singapore,Singapore,1980,121746,56278,65468,15341,12.6,32.9,10413.22,135852.48
Prime Technologies Ltd.,Emma Wilson,Banking,Government,Indonesia,Jakarta,2015,111286,76329,34957,19134,17.19,12.78,486218.54,313232.64
Horizon Logistics Ltd.,Jocelyn Hicks,Retail,Public,Taiwan,Taipei,2021,198140,133335,64805,13974,7.05,29.85,522973.31,50099.3
Pioneer Group Ltd.,Jillian Aguirre,Energy,Private,Taiwan,Taipei,1991,47048,23747,23301,3715,7.9,37.97,28890.15,318740.94
Pioneer Solutions Ltd.,Jennifer Buck,Logistics,Government,Indonesia,Jakarta,2018,70552,46186,24366,12528,17.76,37.94,885.97,354731.08
Nova Solutions Ltd.,Kathy Hogan,Retail,Public,China,Beijing,1986,113699,51857,61842,14329,12.6,37.35,290786.81,15356.16
Evergreen Technologies Ltd.,Katherine Rodriguez,Logistics,MNC,Malaysia,Kuala Lumpur,1956,55546,27021,28525,1494,2.69,28.59,629117.26,275310.08
Nova Technologies Ltd.,Victoria Cochran,Logistics,MNC,Vietnam,Ho Chi Minh City,1985,130744,85313,45431,15185,11.61,33.86,154491.95,152775.56
Prime Holdings Ltd.,Ricky Schmidt,Energy,Government,Vietnam,Ho Chi Minh City,1990,21205,10109,11096,4091,19.29,5.49,127294.71,166395.38
BlueSky Retail Ltd.,Jason Martinez,Telecom,Government,Taiwan,Taipei,2003,62304,30638,31666,5228,8.39,29.62,403130.42,342423.62
Horizon Industries Ltd.,Jessica Wright,Manufacturing,Startup,Japan,Tokyo,1987,11292,7619,3673,1210,10.72,22.16,366436.45,421123.08
Prime Foods Ltd.,George Davis,Logistics,Startup,UAE,Dubai,2008,89642,62326,27316,1703,1.9,17.94,249020.48,76101.4
Pioneer Healthcare Ltd.,Evelyn Johnson,Healthcare,Startup,UAE,Dubai,1987,21159,12278,8881,4191,19.81,19.72,440441.43,293376.1
BlueSky Holdings Ltd.,Paul Donaldson,Energy,Government,Taiwan,Taipei,2013,51814,30370,21444,8393,16.2,24.51,300149.55,105398.16
Horizon Logistics Ltd.,Jon Williams,Manufacturing,MNC,UAE,Dubai,2019,133806,76399,57407,12678,9.47,8.53,385674.05,395055.62
Apex Technologies Ltd.,Michele Martinez,Telecom,Private,Taiwan,Taipei,2013,78720,52788,25932,14882,18.9,6.28,417297.54,220661.38
Pacific Group Ltd.,Andre Williams,Telecom,Private,China,Beijing,1990,117610,67391,50219,5472,4.65,32.52,272779.19,75735.04
Pioneer Group Ltd.,David Hill,Manufacturing,Private,UAE,Dubai,1957,39279,18903,20376,2231,5.68,29.34,571759.3,429864.12
Apex Solutions Ltd.,Jennifer Taylor,Retail,Private,China,Beijing,2002,63747,37381,26366,1186,1.86,36.97,183622.38,122149.24
Vertex Retail Ltd.,Tiffany Garrett,Retail,MNC,Japan,Tokyo,2019,92752,58100,34652,11231,12.11,21.49,425814.64,173871.36
Evergreen Logistics Ltd.,Luis Cook,Energy,Public,Malaysia,Kuala Lumpur,2018,8018,4290,3728,564,7.03,3.95,643178.0,32214.74
Pacific Manufacturing Ltd.,Heather Newton,Retail,Government,UAE,Dubai,2021,133630,81291,52339,26477,19.81,32.21,244664.41,282890.98
